id;major_theme;middle_theme;detail_theme;sample_data;manager_script;recruiter_script;created_at;updated_at
bd63e262-50dc-48dc-b185-2ca17837e5e3;経営・戦略;中期経営計画;目標数値;募集人増員目標: 3名中0名達成;「増員目標の遅れは、来年度の業績に直結します。本部として、採用専門のコンサルタントを派遣し、面接代行・採用広報を強化しませんか？」;「あなたの来年の目標達成には、チームの拡大が必要です。新人トレーナーとして育成ノウハウを共有し、あなたのキャリアアップを支援させてください。」;2025-11-12 13:55:42.538602+00;2025-11-12 14:32:45.339156+00
1ba96b29-6e86-416d-af7c-9b4e4989a7be;経営・戦略;中期経営計画;組織戦略;事業承継: 5年以内の計画だが、後継者未定;「5年後の承継を見据え、後継者候補の育成を最優先課題にしましょう。本部からM&A専門部署を紹介し、選択肢を広げるための情報提供を始めませんか？」;「将来、管理職として活躍するため、部門別損益管理など経営視点の研修に参加しませんか？事業承継の有力候補として期待しています。」;2025-11-12 13:55:42.538602+00;2025-11-12 14:32:45.339156+00
07ab8b27-eee4-4eec-af1b-76b20c7bd4e7;経営・戦略;中期経営計画;組織戦略;事業承継: 計画なし;"「社長、事業承継の計画がまだ具体化されていないとのことですが、これは多くの代理店様でも共通のテーマです。まずは""現状維持リスク""を定量化してみませんか？ 例えば『経営者不在時の収益維持率』を試算するだけでも、次の一手が見えてきます。本部では、承継候補者育成・M&A・外部後継者紹介といった複数パターンの支援メニューを整備しています。来期の計画策定前に、どの選択肢が最も現実的かを一緒に検討させてください。」";"「所長の代で代理店をさらに発展させるために、次世代を意識したチームづくりが大切な時期ですね。あなたのような中堅メンバーが""次の柱""として育つことで、組織全体の信頼も高まります。経営者視点の考え方を学べる""次世代リーダー研修""を紹介しますので、将来のキャリアアップの一歩として挑戦してみませんか？」";2025-11-12 13:55:42.538602+00;2025-11-12 14:32:45.339156+00
1fb17968-690f-46bd-adda-841b1d2041a5;経営・戦略;収益性・財務;コスト構造;IT投資額: 予算達成率10%;「IT投資が進んでおらず、長期的に非効率です。クラウド型顧客管理システムの導入費用について、本部からの優遇措置を具体的にご提案させてください。」;「事務コスト削減のためにも、本部の無料ITツールをフル活用しましょう。ツールの操作方法に不安があれば、私が次回訪問時に集中的にレクチャーします。」;2025-11-12 13:55:42.538602+00;2025-11-12 14:32:45.339156+00
cdbc9935-f99b-4692-9fcb-5d2b85a75d0b;経営・戦略;収益性・財務;収益源の分散;特定の商品カテゴリーへの手数料依存度: 90%;「収益源が特定商品に偏りすぎ、市場変動リスクが高いです。損保商品への販売構成比を20%に高めるためのクロスセル専門チームを作りませんか？」;「得意なA商品だけでなく、B商品のスキルアップがあなたの将来的な収入安定につながります。B商品のお客様向けトークスクリプトの成功事例を共有します。」;2025-11-12 13:55:42.538602+00;2025-11-12 14:32:45.339156+00
688696af-153d-4e12-a097-7fe5c809bcb9;アイスブレイク;パーソナルな関心・価値観;代理店の将来像;ビジョン: 構想なし;「まだ将来ビジョンは具体化されていないとのことですが、それも柔軟な経営判断の一つだと思います。いま直近1〜2年の重点テーマを一緒に整理してみませんか？」;"「社長が""将来のビジョンはこれから考える""と話していましたが、現場としてどんな方向に進んでほしいと感じますか？」";2025-11-12 13:55:42.538602+00;2025-11-12 14:32:45.339156+00
3e5d6352-3027-4ae5-9dd8-2045aa2565b4;経営・戦略;提携・協業;紹介チャネル;不動産会社との提携: 実績ゼロ;「提携先からの紹介実績がまだありません。まずは不動産会社の経営者向けに、事業リスクに関するセミナーを共同で開催することを提案しませんか？」;「提携先への訪問で成果を出すため、紹介元の担当者へのアプローチ方法に特化したロールプレイングを実施しましょう。すぐに使える自己紹介資料も作成します。」;2025-11-12 13:55:42.538602+00;2025-11-12 14:32:45.339156+00
af057c01-962b-433d-acf5-4d2944aef164;販売・市場;販売実績分析;量的実績;新規契約件数 (前年比): 85% (対前年15%減);「新規件数が伸び悩んでいます。特に富裕層向け商品の件数が全体を押し下げています。ターゲット層を絞り直すか、大型案件獲得の戦略会議をすぐに開きませんか？」;「先月は訪問件数自体は多いですが、契約率が15%に留まっています。ニーズ喚起の質問項目を見直すロープレをしませんか？」;2025-11-12 13:55:42.538602+00;2025-11-12 14:32:45.339156+00
2da19242-4fa0-48f7-83b7-68c5c893de3d;販売・市場;販売実績分析;質的実績;平均保険料単価: 3.5万円/件(業界平均4.5万円/件);「貴社の平均単価は業界平均より1万円低いです。法人向け保険や資産形成型商品の提案に注力し、単価5万円へのステップアップ戦略を立てましょう。」;「提案の際、シンプルな商品で終わっていませんか？顧客の潜在的な不安を顕在化させるヒアリングシートを活用し、提案練習をしましょう。」;2025-11-12 13:55:42.538602+00;2025-11-12 14:32:45.339156+00
e04706fc-fdf7-4dc1-8362-eb427ca2c522;販売・市場;マーケット戦略;ターゲット設定;注力したい若年層顧客の獲得件数: 目標比20%;「若年層ターゲットの獲得が大幅に遅れています。彼らに響くSNSを活用したデジタルマーケティングを本部と共同で企画し、テスト展開しませんか？」;「若年層への提案はデジタルツールの使用が必須です。若者向けのオンライン相談ノウハウを学び、まずは月5件のオンライン商談を目指しましょう。」;2025-11-12 13:55:42.538602+00;2025-11-12 14:32:45.339156+00
515190ae-2598-44b8-84ad-186389c213e9;販売・市場;マーケット戦略;新商品推進;新商品の理解度テスト結果: 平均60点;「新商品理解度が低く、本格的な推進に移れません。新商品の重要項目だけを抽出した30分の集中オンライン研修を全募集人向けに緊急実施しませんか？」;「新商品の理解度テスト結果をフィードバックします。特に免責事項の理解が不足しています。来週までに重要箇所のみを再度確認し、疑問点を解消しましょう。」;2025-11-12 13:55:42.538602+00;2025-11-12 14:32:45.339156+00
2ce71c68-4f92-45ed-b1f4-329f274fbc5e;販売・市場;顧客管理;見込み客管理;CRM/SFA導入済みだが、利用率15%;「せっかく導入したCRMの利用率が低すぎます。利用の『メリット』を具体的に伝え、入力サポートを本部から1週間行う特別プログラムを実施しませんか？」;「あなたの見込み客管理、まだ紙ベースですか？CRMに入力すればフォロー漏れがゼロになります。次回訪問時、30分で基本的な使い方を習得しましょう。」;2025-11-12 13:55:42.538602+00;2025-11-12 14:32:45.339156+00
34bde95a-95aa-4765-a119-cfba2262d316;販売・市場;顧客管理;クロスセル機会;世帯契約率: 25% (目標40%);「世帯契約率の低さは、顧客の信頼度が高いのに提案機会を逃している証拠です。家族構成から自動で提案機会をリストアップするツールの活用を徹底しましょう。」;「世帯契約率が上がればあなたの収入も安定します。既存顧客の家族リストを一緒にチェックし、今月は5世帯への追加提案を目標にしませんか？」;2025-11-12 13:55:42.538602+00;2025-11-12 14:32:45.339156+00
d68f13cf-b93e-4cc8-a6d9-b1eb25848d84;人材・育成;採用・定着;採用パイプライン;採用チャネル: 紹介のみに依存;「紹介頼みでは採用数に限界があります。費用対効果の高いダイレクトリクルーティングを本部がサポートしますので、一緒にトライしませんか？」;「採用担当者としての負担が大きいですね。面接時の質問シートや、企業説明会用のプレゼン資料など、本部作成のツールをご提供します。」;2025-11-12 13:55:42.538602+00;2025-11-12 14:32:45.339156+00
964e1ba4-d7a7-4404-b799-e91eb149c84b;人材・育成;採用・定着;定着状況;入社1年以内の離職率: 40% (業界平均25%);「離職率40は組織の成長を阻害します。本部からベテラン社員をメンターとして派遣し、育成プロセスをゼロから見直しませんか？」;「(※管理者候補へ) あなたのチームの離職率が高い原因を一緒に分析しましょう。新人との週次面談に、モチベーション維持のための質問を組み込むことを提案します。」;2025-11-12 13:55:42.538602+00;2025-11-12 14:32:45.339156+00
